Scientific name,Common name,Occurrence status,Year,Latitude (WGS84),Longitude (WGS84),Coordinate uncertainty (m),Recorder,Individual count,Institution code
Chrysolina cerealis,Rainbow Leaf Beetle,present,1978,53.06999,-4.0537,1000,John Parry,13,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1902,53.06999,-4.0537,1000,J. Chappell,13,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08164,-4.08464,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.08158,-4.08486,100,Adrian Fowles,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1886,53.07409,-4.07628,2000,Ellis T W,,NBGRC
Chrysolina cerealis,Rainbow Leaf Beetle,present,1965,53.07512,-4.01662,10000,C Johnson,,Cofnod
Chrysolina cerealis,Rainbow Leaf Beetle,present,1851,53.06999,-4.0537,1000,James Foxcroft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08184,-4.08394,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08087,-4.08541,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08274,-4.08246,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07845,-4.08396,1000,David Evans,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08209,-4.08327,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08219,-4.0835,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1945,53.07897,-4.05412,1000,John Hobart,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08093,-4.08544,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07845,-4.08396,1000,David Evans,4,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07845,-4.08396,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1886,53.06999,-4.0537,1000,Unknown,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1994,53.06356,-4.08697,100,Mark Jones,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08168,-4.08252,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08094,-4.08541,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08274,-4.08245,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1976,53.08341,-4.08345,100,Peter Hodge,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08215,-4.08348,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08084,-4.08546,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.08207,-4.08327,1,Michael Shackshaft,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08158,-4.08486,100,Adrian Fowles,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07845,-4.08396,1000,David Evans,4,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.07281,-4.07079,1,Brian Laney,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2011,53.07512,-4.01662,10000,Graham A.N. & J.E.,,Cofnod
Chrysolina cerealis,Rainbow Leaf Beetle,present,1999,53.07897,-4.05412,1000,Hywel Roberts,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.08158,-4.08486,100,Philip King,4,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1973,53.07512,-4.01662,10000,K.C. Side,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1970,53.11511,-4.01774,100,Joan Morgan,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2010,53.07512,-4.01662,10000,Graham A.N. & J.E.,,Cofnod
Chrysolina cerealis,Rainbow Leaf Beetle,present,1905,53.06999,-4.0537,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1886,53.06999,-4.0537,1000,John Ellis,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1886,53.06999,-4.0537,1000,Unknown,17,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07845,-4.08396,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1985,53.0811,-4.06094,100,Nigel Brown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1965,53.08597,-4.09104,100,Colin Johnson,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1957,53.06999,-4.0537,1000,Unknown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2007,53.07294,-4.07236,1,Brian Laney,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1875,53.07409,-4.07628,2000,,,NBGRC
Chrysolina cerealis,Rainbow Leaf Beetle,present,2011,53.06261,-4.08991,100,Andrew Graham,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2010,53.06436,-4.09298,100,Andrew Graham,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1874,53.06999,-4.0537,1000,G.C. Champion,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1906,53.06999,-4.0537,1000,H. Donisthorpe,24,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.08158,-4.08486,100,Philip King,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2016,53.08082,-4.0813,1,Tony Hunter;Mike Howe;Steve Judd;Richard Gallon,7,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2016,53.08142,-4.07885,1,Tony Hunter,3,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1992,53.06999,-4.0537,1000,Alan Buse,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1960,53.07897,-4.05412,1000,P.W. Price,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.08743,-4.08439,1000,Peter Hope Jones,3,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1997,53.08166,-4.08038,100,Gareth Higgins,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1856,53.06999,-4.0537,1000,James Foxcroft,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1831,53.06999,-4.0537,1000,Unknown,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,,53.07512,-4.01662,10000,W.W. Fowler,,Cumbria Biodiversity Data Centre
Chrysolina cerealis,Rainbow Leaf Beetle,present,1926,53.06999,-4.0537,1000,Unknown,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1968,53.07512,-4.01662,10000,Rawdon Goodier,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1829,53.06999,-4.0537,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1906,53.06999,-4.0537,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1997,53.07512,-4.01662,10000,Caroline Wilson,,Cofnod
Chrysolina cerealis,Rainbow Leaf Beetle,present,2018,53.07512,-4.01662,10000,Dutton,,Cofnod
Chrysolina cerealis,Rainbow Leaf Beetle,present,1979,53.06999,-4.0537,1000,John Parry,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1886,53.06999,-4.0537,1000,John Ellis,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1966,53.06999,-4.0537,1000,E. Ansorge,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1867,53.06999,-4.0537,1000,J.A. Brewer,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,,53.07409,-4.07628,2000,,,NBGRC
Chrysolina cerealis,Rainbow Leaf Beetle,present,,53.07512,-4.01662,10000,E.C. Bedwell,,Cumbria Biodiversity Data Centre
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07617,-4.08609,100,Unknown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1885,53.06999,-4.0537,1000,R. Wilding,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1901,53.07512,-4.01662,10000,Unknown,12,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1968,53.06999,-4.0537,1000,G.A. Mitchell,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.10515,-4.02176,100,Philip King,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1906,53.06999,-4.0537,1000,Unknown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1969,53.06999,-4.0537,1000,Unknown,3,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1955,53.07512,-4.01662,10000,Unknown,4,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1961,53.06999,-4.0537,1000,A.M. Massee,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07845,-4.08396,1000,Unknown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1995,53.07973,-4.08775,100,Mike Howe,7,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1951,53.06999,-4.0537,1000,A.M. Massee,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1906,53.06999,-4.0537,1000,E.C. Bedwell;J. Kidson-Taylor,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1995,53.08338,-4.08494,100,Adrian Fowles,8,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1906,53.07512,-4.01662,10000,J.K. Taylor,,Cumbria Biodiversity Data Centre
Chrysolina cerealis,Rainbow Leaf Beetle,present,1943,53.07512,-4.01662,10000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1963,53.06947,-4.08353,1000,A.M. Massee;A.E. Gardner,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1943,53.07512,-4.01662,10000,Unknown,5,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.08012,-4.06538,100,Philip King,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1967,53.06999,-4.0537,1000,Unknown,5,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2016,53.08866,-4.08102,1,Tony Hunter,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1998,53.08743,-4.08439,1000,Russell Gomm,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1995,53.08338,-4.08494,100,Adrian Fowles,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1885,53.06999,-4.0537,1000,Unknown,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1907,53.06999,-4.0537,1000,John Read Tomlin,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1943,53.07512,-4.01662,10000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07845,-4.08396,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.07973,-4.08775,100,Liz Howe;Mike Howe,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2015,53.08142,-4.07885,1,Tony Hunter,2,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2011,53.0689,-4.07208,10,Alastair Hotchkiss,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2015,53.08082,-4.0813,1,Tony Hunter,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1910,53.06999,-4.0537,1000,Unknown,4,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1905,53.06999,-4.0537,1000,J. Kidson-Taylor,,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.08158,-4.08486,100,Philip King,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1980,53.08158,-4.08486,100,Philip King,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1901,53.07512,-4.01662,10000,Unknown,4,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.08743,-4.08439,1000,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07617,-4.08609,100,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1990,53.07617,-4.08609,100,Unknown,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,2015,53.08036,-4.08001,1,Tony Hunter,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1992,53.06999,-4.0537,1000,Alan Buse,1,NRW
Chrysolina cerealis,Rainbow Leaf Beetle,present,1989,53.08743,-4.08439,1000,Unknown,1,NRW
